Example app listening at http://localhost:3004
MongoDB connected...
INVESTOR ID:: 138  | ACTUAL WALLET AMOUNT:: 120.11  | WALLET AMOUNT:: 120.11  | DIFFERENCE:: 0.00
INVESTOR ID:: 139  | ACTUAL WALLET AMOUNT:: 18.87  | WALLET AMOUNT:: 18.87  | DIFFERENCE:: 0.00
INVESTOR ID:: 140  | ACTUAL WALLET AMOUNT:: 52.06  | WALLET AMOUNT:: 52.06  | DIFFERENCE:: 0.00
INVESTOR ID:: 141  | ACTUAL WALLET AMOUNT:: 157.07  | WALLET AMOUNT:: 157.07  | DIFFERENCE:: 0.00
INVESTOR ID:: 142  | ACTUAL WALLET AMOUNT:: 71.23  | WALLET AMOUNT:: 71.23  | DIFFERENCE:: 0.00
INVESTOR ID:: 143  | ACTUAL WALLET AMOUNT:: 625.20  | WALLET AMOUNT:: 266.20  | DIFFERENCE:: 359.00
INVESTOR ID:: 144  | ACTUAL WALLET AMOUNT:: 216.56  | WALLET AMOUNT:: 55.56  | DIFFERENCE:: 161.00
INVESTOR ID:: 145  | ACTUAL WALLET AMOUNT:: 73.43  | WALLET AMOUNT:: 73.43  | DIFFERENCE:: 0.00
INVESTOR ID:: 146  | ACTUAL WALLET AMOUNT:: 14.62  | WALLET AMOUNT:: 14.62  | DIFFERENCE:: 0.00
INVESTOR ID:: 147  | ACTUAL WALLET AMOUNT:: 93.63  | WALLET AMOUNT:: 93.63  | DIFFERENCE:: 0.00
INVESTOR ID:: 148  | ACTUAL WALLET AMOUNT:: 115.31  | WALLET AMOUNT:: 11.31  | DIFFERENCE:: 104.00
INVESTOR ID:: 149  | ACTUAL WALLET AMOUNT:: 36.03  | WALLET AMOUNT:: 5.98  | DIFFERENCE:: 30.05
INVESTOR ID:: 150  | ACTUAL WALLET AMOUNT:: 94.78  | WALLET AMOUNT:: 94.78  | DIFFERENCE:: 0.00
INVESTOR ID:: 151  | ACTUAL WALLET AMOUNT:: 3.42  | WALLET AMOUNT:: 3.42  | DIFFERENCE:: 0.00
INVESTOR ID:: 152  | ACTUAL WALLET AMOUNT:: 66.91  | WALLET AMOUNT:: 66.91  | DIFFERENCE:: 0.00
INVESTOR ID:: 153  | ACTUAL WALLET AMOUNT:: 351.30  | WALLET AMOUNT:: 187.30  | DIFFERENCE:: 164.00
INVESTOR ID:: 154  | ACTUAL WALLET AMOUNT:: 77.13  | WALLET AMOUNT:: 77.13  | DIFFERENCE:: 0.00
INVESTOR ID:: 155  | ACTUAL WALLET AMOUNT:: 80.99  | WALLET AMOUNT:: 80.99  | DIFFERENCE:: 0.00
INVESTOR ID:: 156  | ACTUAL WALLET AMOUNT:: 93.27  | WALLET AMOUNT:: 93.27  | DIFFERENCE:: 0.00
INVESTOR ID:: 157  | ACTUAL WALLET AMOUNT:: 143.06  | WALLET AMOUNT:: 143.06  | DIFFERENCE:: 0.00
INVESTOR ID:: 158  | ACTUAL WALLET AMOUNT:: 67.16  | WALLET AMOUNT:: 67.16  | DIFFERENCE:: 0.00
INVESTOR ID:: 159  | ACTUAL WALLET AMOUNT:: 17.26  | WALLET AMOUNT:: 17.26  | DIFFERENCE:: 0.00
INVESTOR ID:: 160  | ACTUAL WALLET AMOUNT:: 48.75  | WALLET AMOUNT:: 46.81  | DIFFERENCE:: 1.94
INVESTOR ID:: 161  | ACTUAL WALLET AMOUNT:: 108.54  | WALLET AMOUNT:: 108.54  | DIFFERENCE:: 0.00
INVESTOR ID:: 162  | ACTUAL WALLET AMOUNT:: 48.70  | WALLET AMOUNT:: 48.70  | DIFFERENCE:: 0.00
INVESTOR ID:: 163  | ACTUAL WALLET AMOUNT:: 15.28  | WALLET AMOUNT:: 15.28  | DIFFERENCE:: 0.00
INVESTOR ID:: 164  | ACTUAL WALLET AMOUNT:: 21.16  | WALLET AMOUNT:: 21.16  | DIFFERENCE:: 0.00
INVESTOR ID:: 165  | ACTUAL WALLET AMOUNT:: 119.48  | WALLET AMOUNT:: 119.48  | DIFFERENCE:: 0.00
INVESTOR ID:: 166  | ACTUAL WALLET AMOUNT:: 111.47  | WALLET AMOUNT:: 111.47  | DIFFERENCE:: 0.00
INVESTOR ID:: 167  | ACTUAL WALLET AMOUNT:: 81.54  | WALLET AMOUNT:: 81.54  | DIFFERENCE:: 0.00
INVESTOR ID:: 168  | ACTUAL WALLET AMOUNT:: -95.05  | WALLET AMOUNT:: 103.23  | DIFFERENCE:: -198.28
INVESTOR ID:: 169  | ACTUAL WALLET AMOUNT:: 35.61  | WALLET AMOUNT:: 35.61  | DIFFERENCE:: 0.00
INVESTOR ID:: 170  | ACTUAL WALLET AMOUNT:: 28.71  | WALLET AMOUNT:: 28.71  | DIFFERENCE:: 0.00
INVESTOR ID:: 171  | ACTUAL WALLET AMOUNT:: 837.94  | WALLET AMOUNT:: 77.94  | DIFFERENCE:: 760.00
INVESTOR ID:: 172  | ACTUAL WALLET AMOUNT:: 376.73  | WALLET AMOUNT:: 345.39  | DIFFERENCE:: 31.34
INVESTOR ID:: 173  | ACTUAL WALLET AMOUNT:: 126.96  | WALLET AMOUNT:: 21.96  | DIFFERENCE:: 105.00
INVESTOR ID:: 174  | ACTUAL WALLET AMOUNT:: 160.13  | WALLET AMOUNT:: 19.27  | DIFFERENCE:: 140.86
INVESTOR ID:: 175  | ACTUAL WALLET AMOUNT:: 126.61  | WALLET AMOUNT:: 126.61  | DIFFERENCE:: 0.00
INVESTOR ID:: 176  | ACTUAL WALLET AMOUNT:: 68.22  | WALLET AMOUNT:: 68.22  | DIFFERENCE:: 0.00
INVESTOR ID:: 177  | ACTUAL WALLET AMOUNT:: 104.22  | WALLET AMOUNT:: 104.22  | DIFFERENCE:: 0.00
INVESTOR ID:: 178  | ACTUAL WALLET AMOUNT:: 80.76  | WALLET AMOUNT:: 80.76  | DIFFERENCE:: 0.00
INVESTOR ID:: 179  | ACTUAL WALLET AMOUNT:: 51.64  | WALLET AMOUNT:: 51.64  | DIFFERENCE:: 0.00
INVESTOR ID:: 180  | ACTUAL WALLET AMOUNT:: 99.28  | WALLET AMOUNT:: 99.28  | DIFFERENCE:: 0.00
INVESTOR ID:: 181  | ACTUAL WALLET AMOUNT:: 85.44  | WALLET AMOUNT:: 85.44  | DIFFERENCE:: 0.00
INVESTOR ID:: 182  | ACTUAL WALLET AMOUNT:: 470.23  | WALLET AMOUNT:: 470.23  | DIFFERENCE:: 0.00
INVESTOR ID:: 183  | ACTUAL WALLET AMOUNT:: 157.77  | WALLET AMOUNT:: 157.77  | DIFFERENCE:: 0.00
INVESTOR ID:: 184  | ACTUAL WALLET AMOUNT:: 103.31  | WALLET AMOUNT:: 103.31  | DIFFERENCE:: 0.00
INVESTOR ID:: 185  | ACTUAL WALLET AMOUNT:: -142.07  | WALLET AMOUNT:: 114.93  | DIFFERENCE:: -257.00
INVESTOR ID:: 186  | ACTUAL WALLET AMOUNT:: 18.36  | WALLET AMOUNT:: 18.36  | DIFFERENCE:: 0.00
INVESTOR ID:: 187  | ACTUAL WALLET AMOUNT:: 17.94  | WALLET AMOUNT:: 17.94  | DIFFERENCE:: 0.00
INVESTOR ID:: 188  | ACTUAL WALLET AMOUNT:: 205.78  | WALLET AMOUNT:: 22.78  | DIFFERENCE:: 183.00
INVESTOR ID:: 189  | ACTUAL WALLET AMOUNT:: 99.05  | WALLET AMOUNT:: 99.05  | DIFFERENCE:: 0.00
INVESTOR ID:: 190  | ACTUAL WALLET AMOUNT:: 112.93  | WALLET AMOUNT:: 112.17  | DIFFERENCE:: 0.76
INVESTOR ID:: 191  | ACTUAL WALLET AMOUNT:: 7.33  | WALLET AMOUNT:: 7.33  | DIFFERENCE:: 0.00
INVESTOR ID:: 192  | ACTUAL WALLET AMOUNT:: 424.84  | WALLET AMOUNT:: 424.84  | DIFFERENCE:: 0.00
INVESTOR ID:: 193  | ACTUAL WALLET AMOUNT:: 84.55  | WALLET AMOUNT:: 84.55  | DIFFERENCE:: 0.00
INVESTOR ID:: 194  | ACTUAL WALLET AMOUNT:: 425.00  | WALLET AMOUNT:: 55.00  | DIFFERENCE:: 370.00
